from,to,kind,licensing_phrase
T1,D4,dependency,"The seven doings admit a unique linear order"
T2,D7,dependency,"The minimal update is unique"
T3,T2,dependency,"Requiring the update to preserve the ratio between channels"
T4,A3,dependency,"PROVED given A3"
T4,T3,dependency,"u and r are then pinned"
T5,T4,dependency,"Two channels squared give four combinations"
T5,D9,dependency,"the terms of (u + r) squared"
T6,D11,dependency,"PROVED given D11"
T6,D10,dependency,"A crossing either closes, at price exactly r"
T7,T4,dependency,"r cubed equals one over eight phi cubed"
T7,T6,dependency,"three copies of one retained fraction"
T7,T10,dependency,"the carrier derivation of the exponent is T10"
T8,A3,dependency,"CONDITIONAL on A3"
T8,T9,dependency,"This reduces T8 from three stipulations to one"
T8,D13,dependency,"required to equal its own dual"
T9,A3,dependency,"PROVED given A3"
T9,D1,dependency,"an element pairing to zero with itself is a distinction making no difference to itself"
T10,T8,dependency,"For roots alpha and beta"
T10,T6,dependency,"With T6 the weight of that history is r cubed"
T10,D14,dependency,"In E8 these are exactly the roots"
T11,T10,dependency,"the closed triangle is half of it"
T12,T8,dependency,"Projected onto the Coxeter plane the 240 roots"
T13,A6,dependency,"PROVED given A6"
T13,D15,dependency,"the fixed algebra of the reduction"
T13,D17,dependency,"the readable algebra is exactly the fixed algebra"
T14,A6,dependency,"the definition, not a choice among options"
T14,D16,dependency,"The minimal generator I minus C is idempotent"
T15,D11,dependency,"two independent orders of accumulation would be two records"
T15,T26,dependency,"from the arrow of Movement Thirteen"
T16,T27,dependency,"from the one-world result of Movement Twenty-Three"
T17,D18,dependency,"The inherited quadratic form is P_X minus P_T"
T17,T15,dependency,"the opposite closure roles of spatial opening and causal completion"
T17,T16,dependency,"the opposite closure roles of spatial opening and causal completion"
T18,T17,witness,"Independent of T17's route and reaching the same signature"
T19,D11,dependency,"no physical event has distinguished one"
T20,T19,dependency,"Additive action under sequential composition"
T21,T20,dependency,"the same physical effect to carry the same probability"
T22,T20,dependency,"A transformation preserving every transition probability"
T23,T5,dependency,"exactly W_L, W_B and W_M"
T23,T21,dependency,"Expanding the squared magnitude of a sum"
T24,T5,dependency,"has three terms and no others"
T25,T14,dependency,"PROVED given T14"
T26,D7,dependency,"PROVED given D7"
T27,D11,dependency,"is not discriminable as either and is therefore not a record"
T28,A5,dependency,"CONDITIONAL on A5"
T28,T26,dependency,"which is overwrite by geometry and is forbidden by T26"
O1,D15,dependency,"A concrete representation of the cluster projection C"
O2,O1,dependency,"OPEN, conditional on O1"
O2,T17,dependency,"the surviving local symmetry must be the one T17 derives"
O3,O1,dependency,"OPEN, conditional on O1"
O4,T8,dependency,"passes each of the 240 roots exactly once"
O4,D14,dependency,"a complete carrier closure"
O5,D11,dependency,"the growth of the record"
O7,T6,dependency,"quantised retention at powers of r"
N_lambda,O4,dependency,"The global vacuum residue rests on it"
N_lambda,T8,dependency,"(4 pi / sqrt3) r^240"
D10,T6,reference,"Its price is the retained fraction r; see T6"
D16,T14,reference,"See T14 for why the minimal form is not always the one meant"
D10,T4,dependency,"Its price is the retained fraction r"
T29,T15,dependency,"rank P_T = 1"
T29,T16,dependency,"rank P_I = 1"
T29,D18,dependency,"P_X, P_T, P_I sum to the geometry block"
T30,T8,dependency,"rank-3 root subsystems of E8"
T31,T29,dependency,"a rank-5 survivor means a rank-3 decayed part"
T31,T30,dependency,"exactly three candidates"
T31,T10,dependency,"A1+A1+A1 hosts no closed triangular history"
T31,T25,dependency,"A2+A1 is reducible, which is two operators not one"
T31,A6,dependency,"the reduction averages over a reflection subgroup"
T32,T8,dependency,"the 240 roots"
T32,D14,dependency,"every step is a primitive crossing"
T33,T24,dependency,"the square of a defect has three terms and no others"
T33,T5,dependency,"the three weights exhaust the whole"
T34,T29,dependency,"three spatial modes"
T34,T16,dependency,"one closure, so every traversal returns"
T34,T27,dependency,"one world, so simply connected"
T35,T34,dependency,"bound states are harmonics on the three-sphere"
T35,T8,dependency,"the carrier equals its own dual, so one sphere not two"
T36,T15,dependency,"the record accumulates along one monotone order"
T36,T26,dependency,"retention over replacement forbids the reverse"
T36,T25,dependency,"matter closes into a cycle reproducing its readable identity"
T37,T13,dependency,"the readable object is the physical algebra, not a subspace"
T37,A6,dependency,"bimodularity makes the image an algebra"
T38,T31,dependency,"the three-two split of the surviving block"
T39,T32,dependency,"one retention per root over a complete closure"
T39,T33,dependency,"the cosmological term of the same square"
