File,SHA256,Bytes
audit/archive/Unified_Mechanics_Derivation_Programme_Monochrome_2026-08-02.pdf,97E93C500DACECC04F248DA75BB05419F33C09F6E0163D9CB40C9B3E7D825D87,345464
audit/archive/Unified_Mechanics_Derivation_Programme_Pre-Reconciliation_2026-08-02.pdf,A6EF04446F56B36D7CF5BED4E8D973384C39B2B33AA8C4874DB56D25343DDFB4,394193
audit/README.md,60D1108CCF8868DBDC371D2DAADBDAFFB4B2776055452E9D9CCA3A647C6BB64B,1475
audit/Unified_Mechanics_Historical_Corpus_Inventory.csv,DF53D582D6446257CF47C2E0C6E205BB4CF6F88CB86FB760296CD0970668D1DC,607642
audit/Unified_Mechanics_Historical_Source_Coverage_Ledger.csv,B92227B23F7CF9B427DB8CA7F031CD4549DB7B665D6430E3584B1E1E2B53AB72,239637
README.md,2E7C73D17A26ED55C2D82D4668B43917EF35FCB079AA2E4DF76B204B8A254CED,6337
RELEASE_NOTES.md,AC4F40CFF949C4B707B90A519C38F6B7606DC7454EC05A1F1E4E9FDEAF45C292,1476
START_HERE.md,AD93AB93BB38A692E97D6E964C950EA4D1F804974243117EB4CDE4EB9C34E5E8,1091
Unified Mechanics - The Nine-Step Closure.pdf,D68EEA9B788F2D15B4DF45207F8E07F0259EDF28A17A7814E0314601E62D54DD,232875
Unified_Mechanics_Complete_Series.pdf,8303A16AA45843E92CDC30BD243E23E720DF9442268EFE88F9F9ED74A1DF5B93,408400
Unified_Mechanics_Current_Scientific_Position.pdf,DC20844F8C09DE1E7736ED27BFAB00DE5BA6633F265E2EF719183A7F60689B93,56995
Unified_Mechanics_Derivation_Programme.pdf,3334844374714110CCACDBA480C33E017875D385F554B5AF78B60D4C785A272C,354172
Unified_Mechanics_Package_Inventory.csv,D6C7041A84C2CD67305F521EDA7296C4973A2582FDDFE795934483E89C4C6A75,2691
Unified_Mechanics_Scientific_Edition_LaTeX.zip,116F56241D541334633318B3B0DCF3406A24CC731DF69B171844D5EABF66D0E9,1622128
Unified_Mechanics_Verification_Report.md,7FBDA0FAEFE315AF931A45D9E1D06AAA45102599A90A5B9146E48DD4518FC61F,4365
Unified_Mechanics_Volume_I_Foundations.pdf,2E103E6B5FBFDA0629DE93980BC9D4604401CD017915DE83665DE28507A099AD,145268
Unified_Mechanics_Volume_II_Carrier_Geometry.pdf,5564691F944E6F2C683AC4E127E7B2A5530E8EF3285DDDB56E54325C40931DFA,112545
Unified_Mechanics_Volume_III_Traversal_and_Readout.pdf,F8A42372AB5C128489EBD96372FAB90B4C8BC6F7FF35671F5D07A189127864A2,88196
Unified_Mechanics_Volume_IV_Physical_Applications.pdf,F0CFF8BF00CC20EC75413987CBACE619FD08076E3E7F8E0E711B0803B0364B6D,142596
Unified_Mechanics_Volume_V_Formal_Register.pdf,05CA791D5AA8DEBF3617B450E3114936CE115F5872795102F6E282ED0D24B578,109731
ZENODO.md,582EAFBE10A99B0872B33AC4185F6B34E4ED5E2C33EF6F62D5595F659E57AE75,3297
