file,source,retrieved,licence,transformation,used_by
data/SPARC/SPARC_Lelli2016c.mrt,"Lelli, McGaugh & Schombert 2016, AJ 152, 157. SPARC galaxy table, http://astroweb.cwru.edu/SPARC/",2026-07,"Public, cite the source paper",none; read as issued,"sparc_test.py, interface_integral_test.py"
data/SPARC/MassModels_Lelli2016c.mrt,"Lelli, McGaugh & Schombert 2016, AJ 152, 157. SPARC mass models, http://astroweb.cwru.edu/SPARC/",2026-07,"Public, cite the source paper",none; read as issued,"sparc_test.py, interface_integral_test.py"
data/SPARC/RAR.mrt,"Lelli et al. 2016, radial acceleration relation table",2026-07,"Public, cite the source paper",none; retained for reference,"not used by any current script"
data/SPARC/RARbins.mrt,"Lelli et al. 2016, binned radial acceleration relation",2026-07,"Public, cite the source paper",none; retained for reference,"not used by any current script"
nodes.csv,"Transcribed from Unified Mechanics, The Formal Register, Parts Two to Four and Seven",2026-07-27,"Author's own work",transcription only,validate_dependencies.py
dependencies.csv,"Transcribed from the same, each edge carrying the licensing phrase from the Register's own wording",2026-07-27,"Author's own work",transcription only,"validate_dependencies.py, distance_from_the_line.py"
,"Published values used in o5_o6_cosmology.py, not stored as files:",,,,
,"Planck 2018 results VI, cosmological parameters (Aghanim et al. 2020, A&A 641, A6)",2026-07,cited,"H0 and Omega_Lambda with errors, TT,TE,EE+lowE+lensing and +BAO",o5_o6_cosmology.py
,"Riess et al. 2022, ApJL 934, L7, SH0ES local H0",2026-07,cited,"H0 = 73.04 +- 1.04",o5_o6_cosmology.py
,"CODATA 2018 Planck length and speed of light",2026-07,cited,none,o5_o6_cosmology.py
