"File","SHA256","Bytes"
"Unified_Mechanics_Complete_Series.pdf","EDAC768CA4F03306065418C2B93EA7B23E1EB4109499AB5C7305BB3B67F36E0C","540066"
"Unified_Mechanics_Corpus_Inventory.csv","DF53D582D6446257CF47C2E0C6E205BB4CF6F88CB86FB760296CD0970668D1DC","607642"
"Unified_Mechanics_Living_Scientific_Edition_LaTeX.zip","6AE41D60988B7898F91A723E1D74416D78C80D8A0A7823800CC540373B2CE04F","249874"
"Unified_Mechanics_Source_Coverage_Ledger.csv","B92227B23F7CF9B427DB8CA7F031CD4549DB7B665D6430E3584B1E1E2B53AB72","239637"
"Unified_Mechanics_Verification_Report.md","CA261BA9CBB0C9F39A06324D3196120A20EAFE99505BE6703CDD2F22DBB7D6CE","2246"
"Unified_Mechanics_Volume_I_Foundations.pdf","ADF33C47F04BC7FD434FD7BCFC33854D2476BB4556BB401700B682C83D566541","158779"
"Unified_Mechanics_Volume_II_Carrier_Geometry.pdf","9C7FDCC75085BE993EAFBA51BF7BE3B8C10C496184E40AA5F3A724F38782C91A","131137"
"Unified_Mechanics_Volume_III_Traversal_and_Readout.pdf","85931B49F5798C7E345DECFC6A9A83686D499B3B30F9597F275ED7EB79464B86","99652"
"Unified_Mechanics_Volume_IV_Physical_Applications.pdf","7C697D4D57D11011EFEE75D435C7B9BEC723422DE47E6B04D1FB8DBAF7B16D9F","159990"
"Unified_Mechanics_Volume_V_Formal_Register.pdf","72652261304198E4DD5FB7937642600595FF91F8D40220C024A6BD023B700457","204491"
