source_path,absolute_path,sha256,format,role,words_approx,leading_topics,claim_labels,planned_volume,planned_section,coverage_status,citation_status,technical_review_status,notes
LEGACY_UNIFIED_MECHANICS/00_DERIVATION.md,C:\Users\joesh\Documents\Codex\2026-07-12\f\work\unified-mechanics-repo\00_DERIVATION.md,da9ce959873f78e23368e51bdc6fd37a0a45287b90ff506464d9305dd42c062f,.md,supporting_text,653,foundational_partition; geometry_gravity; cosmology; traversal_history,,I,Legacy foundations regraded against the current formal chain,mapped_provisional,unreviewed,unreviewed,
LEGACY_UNIFIED_MECHANICS/00_LAWS.md,C:\Users\joesh\Documents\Codex\2026-07-12\f\work\unified-mechanics-repo\00_LAWS.md,b595ab15262a197f2c7132e81222c96066f8d3d16d878c26a33d5c12f198df92,.md,supporting_text,690,personal_relativity; foundational_partition; traversal_history; geometry_gravity,DERIVED:9; OPEN:3,I,Legacy foundations regraded against the current formal chain,mapped_provisional,unreviewed,unreviewed,
LEGACY_UNIFIED_MECHANICS/00_MASTER_HANDOVER.md,C:\Users\joesh\Documents\Codex\2026-07-12\f\work\unified-mechanics-repo\00_MASTER_HANDOVER.md,2c0c851473a470b9841e155db9ac6ec6311302ee851b65066dae98f1759aff5e,.md,supporting_text,403,cosmology; foundational_partition; geometry_gravity; matter_atomic,,IV,Cosmology and phenomenology,mapped_provisional,unreviewed,unreviewed,
LEGACY_UNIFIED_MECHANICS/00_WHAT_THIS_IS.md,C:\Users\joesh\Documents\Codex\2026-07-12\f\work\unified-mechanics-repo\00_WHAT_THIS_IS.md,34d5cd73a6e6f3ef975e2aa59d664f43bcb71700c9c89f8e2b79f745c7fd4ffd,.md,supporting_text,677,geometry_gravity; cosmology; foundational_partition; traversal_history; matter_atomic; least_action_field,DERIVED:2,I,Legacy foundations regraded against the current formal chain,mapped_provisional,unreviewed,unreviewed,
LEGACY_UNIFIED_MECHANICS/01_FOUNDATION.md,C:\Users\joesh\Documents\Codex\2026-07-12\f\work\unified-mechanics-repo\01_FOUNDATION.md,9085f88cfcfd47f28f887337f0755ce26686d3d93bf7170c25b38314e3ceb2f7,.md,supporting_text,6537,geometry_gravity; cosmology; foundational_partition; matter_atomic; traversal_history; personal_relativity,DERIVED:9; PROPOSED:1; PREDICTION:13; RESULT:7; LIMIT:7; FAILED:2,I,Legacy foundations regraded against the current formal chain,mapped_provisional,unreviewed,unreviewed,
LEGACY_UNIFIED_MECHANICS/02_COSMOLOGY.md,C:\Users\joesh\Documents\Codex\2026-07-12\f\work\unified-mechanics-repo\02_COSMOLOGY.md,064c67272c8b79b8a0f2f7f044a91037a1846c71c96e415dd7655ccdb923ed1a,.md,supporting_text,2841,cosmology; foundational_partition; geometry_gravity; traversal_history; matter_atomic; least_action_field,DERIVED:3; PREDICTION:3; RESULT:2; LIMIT:2,IV; V,Legacy phenomenology and scientific regrading,mapped_provisional,unreviewed,unreviewed,
LEGACY_UNIFIED_MECHANICS/03_GRAVITY_AND_BLACK_HOLES.md,C:\Users\joesh\Documents\Codex\2026-07-12\f\work\unified-mechanics-repo\03_GRAVITY_AND_BLACK_HOLES.md,8d17833c2bbaf02bf2d81d1e117869a2ab21286232d4a5d649c68fab4fa7bb8e,.md,supporting_text,3437,geometry_gravity; foundational_partition; matter_atomic; personal_relativity; cosmology,DERIVED:3; ESTABLISHED:1; CONJECTURE:1; PREDICTION:2; LIMIT:2; FAILED:1,II; V,Legacy physical claims and supersession audit,mapped_provisional,unreviewed,unreviewed,
LEGACY_UNIFIED_MECHANICS/04_QUANTUM_AND_HOLOGRAPHIC.md,C:\Users\joesh\Documents\Codex\2026-07-12\f\work\unified-mechanics-repo\04_QUANTUM_AND_HOLOGRAPHIC.md,79c1f9c79fb8b95bcfeed72500e3cbb31efd99637eb1331f013d096347ed8e82,.md,supporting_text,3690,geometry_gravity; personal_relativity; colour_field; matter_atomic; logical_action; reproducibility,DERIVED:7; PROPOSED:1; PREDICTION:6; OPEN:1; LIMIT:6,IV; V,Legacy phenomenology and scientific regrading,mapped_provisional,unreviewed,unreviewed,
LEGACY_UNIFIED_MECHANICS/05_PARTICLE_PHYSICS.md,C:\Users\joesh\Documents\Codex\2026-07-12\f\work\unified-mechanics-repo\05_PARTICLE_PHYSICS.md,8747485aa278018d5b6b58abf65cb5b65d3a4461a8bb6affad107652304708e1,.md,supporting_text,2965,cosmology; geometry_gravity; matter_atomic; foundational_partition; personal_relativity; traversal_history,DERIVED:3; PREDICTION:3; RESULT:5; OPEN:1; LIMIT:4,II; V,Legacy physical claims and supersession audit,mapped_provisional,unreviewed,unreviewed,
LEGACY_UNIFIED_MECHANICS/06_HETEROTIC_IDENTIFICATION.md,C:\Users\joesh\Documents\Codex\2026-07-12\f\work\unified-mechanics-repo\06_HETEROTIC_IDENTIFICATION.md,b9de92ffd4936af9757b02848c6a8add6facf34616b965021b874e6e7f23aff3,.md,supporting_text,3444,geometry_gravity; traversal_history; foundational_partition; cosmology; matter_atomic; least_action_field,DERIVED:5; ESTABLISHED:1; LIMIT:2,II; V,Legacy physical claims and supersession audit,mapped_provisional,unreviewed,unreviewed,
